,text,type,dataset
3271,"RT @NRaule: Now i can see so many people lying at BICC ground. Many of them r without tent.Cold wind, searching for foods &amp; tent
#earthquak…",0,Nepal Earthquake
3272,"SGPC &amp; DSGMC will tomorrow send 20,000 &amp; 25,000 food packets for earthquake victims in Nepal#Pb  @Prabhuchawla  @Newindianxpress",1,Nepal Earthquake
3273,India sends 34-member medical team to Nepal: Health Minister J P Nadda is personally… http://t.co/rpCaAZZu1U SPS®,1,Nepal Earthquake
3274,@omertaricerca Well right now donating to the victims of the earthquake.. sent some mails to try and get the medicines. No answer so far.,0,Italy Earthquake
3275,"@ShaneWarne Plz shout for help to the earthquake victims of Nepal. Need TENTS, lotts of TENTS. Homes demolished. Under empty sky as it rains",0,Nepal Earthquake
3276,"Twin quakes today. One is in Europe, Italy earlier, recording 6.2 magnitude earthquake. https://t.co/QUbtebekgS",2,Italy Earthquake
3277,Vatican firefighters to help Italy quake: Pope Francis has dispatched one-sixth of the… https://t.co/KKodqOzPzA,1,Italy Earthquake
3278,Centre halted NDMA bid to prepare states to deal with earthquake https://t.co/WAQ8k1yINw via @sharethis,2,Nepal Earthquake
3279,"#TamilNadu's #coronavirus infection count continued its rising trend with 3,645 persons testing positive over the past 24 hours, taking the total tally to 74,622, the state Health Department said on Friday.\n\n#COVID19 #CoronaVirusUpdates https://t.co/xwa3US8bu6",2,Covid-19
3280,#Earthquake - this one is for my lovely wife @atingstrup Without you I wouldn't have managed -  I Love You https://t.co/eByLOgj0oB,2,Nepal Earthquake
3281,RT @neelinc: Earthquake in Tajikistan province of Pakistan!,2,Nepal Earthquake
3282,"Kailash bakery providing free food to the earthquake victims.
 #NepalQuakeRelief  kailashbakery@gmail.com http://t.co/cwvWA0wVTT",1,Nepal Earthquake
3283,Australian made ‘solar tent pole’ deployed in Nepal after earthquake http://t.co/Sbj8kFYtdA #SolarPower,1,Nepal Earthquake
3284,RT @girirajsinghbjp: At Darbhanga Medical collage hospital ..assured best of help to Earthquake victims http://t.co/lQsit3dmzx,1,Nepal Earthquake
3285,"RT @dna: Live | Nepal Earthquake: Death toll exceeds 5000; power cut, lack of communications hamper relief efforts http://t.co/NOrC9kdW6O",0,Nepal Earthquake
3286,"TENTS , PLASTIC SHEETS, BLANKETS must be required in NEPAL. We all can contribute &amp; hopefully TV Channels will give address of ORGANIZATIONS",0,Nepal Earthquake
3287,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.,2,Nepal Earthquake
3288,RT @RepublicaNepal: 24 students in Kavre die in earthquake |http://t.co/bVWVPDMGZe,2,Nepal Earthquake
3289,25000 packets of food and 25000 pouches of water to be dispatched by AAP govt to Nepal. #AAPatWork,1,Nepal Earthquake
3290,#NepalEarthQuake A Weekend Turned Wicked - We Survived Earthquake http://t.co/vpfQMHqYEO,2,Nepal Earthquake
3291,"#TMobile makes calls, texts from U.S. to Italy free in aftermath of deadly earthquake. Read more: https://t.co/1MtSVthSDc $TMUS",1,Italy Earthquake
3292,#COVID19 #Rajasthan 8:30pm Report\n\n364+ve cases &amp; 1 Death Reported\n\n60 #Jaipur\n43 #Bharatpur\n42 #Sirohi\n41 #Pali\n29 #Kota \n27 #Barmer\n25 #Jodhpur\n14 #Karauli\n13 #Bikaner\n11 #Jalore\n\nCumulative+ve 16660\nActive +ve 3218\nDeaths 380\nCured 13062\nDischarged 12772\nMigrants +ve 4776\n\ud83d\udc47 https://t.co/opBTVSAhPG,2,Covid-19
3293,Climbers Describe Havoc on Mount Everest After Nepal Earthquake: As rescue efforts were hampered by bad weathe... http://t.co/PHFmR3gqWS,2,Nepal Earthquake
3294,RT @newsunlimitedin: Photo: News of the day: Himalayan earthquake: Everest may have shrunk - satellite data analysis http://t.co/lDFLQZh6qi,2,Nepal Earthquake
3295,"RT @komalinsan25: #MSGHelpEarthquakeVictims
16000packed food hs alrdy been dispatched to Nepal by @Gurmeetramrahim g,although demand ws of …",1,Nepal Earthquake
3296,30 trucks of relief will be sent for #NepalQuakeRelief  with food water and medicine #NepalEarthquake #Nepal @tommorow from India,1,Nepal Earthquake
3297,20 asylum seekers from a regional centre went to help the civil protection team  #earthquake #Italy https://t.co/WRcAo2Nmwq,1,Italy Earthquake
3298,OUR PM  IS DOING A GOOD JOB IN EVERY FIELD. AN APPRECIABLE WORK FOR FARMERS AND NEPAL EARTHQUAKE . HIS REAL POWER IS TRUST OF ALL INDIANS.,1,Nepal Earthquake
3299,"RT @NEoCOfficial: Foreigner missing/rescued
http://t.co/Jhfc1tk0vw response to earthquake crisis

interpol@nepalpolice.gov.np
policetourist…",2,Nepal Earthquake
3300,#Asylumseekers - Asylum seekers volunteer in wake of Italian earthquake https://t.co/i4dm532POu,1,Italy Earthquake
3301,Facebook 'Donate' button for Nepal Earthquake Relief Work http://t.co/NHDouy5Lfm via @ModernLifeTimes,2,Nepal Earthquake
3302,"RT @Krittivasm: As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/v…",0,Nepal Earthquake
3303,US @verizon phone customers can call family/friends in Italy for free. #ItalyEarthquake @jnels https://t.co/USco9UmFuw,1,Italy Earthquake
3304,"RT @IndiaProgressin: https://t.co/jGyUfmnovK

Nepal makes Earthquake Proof Homes Made from Pet Bottles #NepalEarthquake #NepalQuake #NepalD…",2,Nepal Earthquake
3305,"RT @AamAadmiParty: Nepal &amp; North India Earthquake Relief
Camp at Kikar wala chowk, Arya Samaj Rd.
Contact on: 9015532112, 8860802656 http:/…",1,Nepal Earthquake
3306,Earthquake in Nepal and Northern India 2015: Shah Rukh Khan expresses his concern over earthquake via @indiacom http://t.co/PeliX1kzF8,2,Nepal Earthquake
3307,"Earthquake Safety Tips : 

READ &amp; SHARE 
http://t.co/4vWqQsB610""",2,Nepal Earthquake
3308,@ggiittiikkaa @aashish81us Why Did Ur PM call @narendramodi &amp;discussed about Nepal earthquake OR he was Asking Tharoor's Hand 4U @MehrTarar,2,Nepal Earthquake
3309,"First Service Free*\nDownload the Mekvahan App now\nGet discounts and offers on Car &amp; Bike service; sanitization , care, maintenance &amp; repairs.\n@anandmahindra \n@RNTata2000 \n#lockdown #delhi #noida #gurgaon #India #vehicles  #StayHome #COVID19 #ElectricVehicles #StaySafe #bike https://t.co/ervZhIZvXc",2,Covid-19
3310,RT @OneDaysWages: You can make an impact in Nepal in the aftermath of the earthquake. 100% of your donation goes to relief efforts. http://…,2,Nepal Earthquake
3311,RT @anilkapur_: Nepal quake: Baba Ramdev's health camp turns into relief camp http://t.co/6RrA7GLIVp Where are @RShivshankar @AnchorAnandN …,1,Nepal Earthquake
3312,"RT @AllinoneIndia: Earthquake: ‘Thankful to Bihar, UP govt. for India-Nepal bus facility’, says envoy Ranjit Rae http://t.co/SLwXcqjEup",1,Nepal Earthquake
3313,"Help earthquake victims of Nepal: we need ""Tents"" only no more now -victims of sindu... http://t.co/OQLY6NASev",0,Nepal Earthquake
3314,"@fenix_upadhyaya helping earthquake victims? You too! Wash your hands, don't run around without masks. Be a good boy.",2,Nepal Earthquake
3315,Modern #disasterrelief MT @engadget: #Italianearthquake residents asked to disable WiFi p/w https://t.co/kk2NZ0j6J3 https://t.co/LqbZVm37je,0,Italy Earthquake
3316,BBC News Tech Italy quake rescuers ask locals to unlock their wi-fi: Rescue teams searching for earthquake su... https://t.co/TTNXsVQWdW,0,Italy Earthquake
3317,#cancelDTUexams @ArvindKejriwal @narendramodi @s0hilkhan @msisodia @ugc_india \ncorona spread everywhere in delhi no one street escape by #covid19  \n#cancelDTUexams,2,Covid-19
3318,"Army, Rescuers Race to Save Survivors of Italy Quake: The 6.2 magnitude quake struck about 100 miles northeast of Rome and killed at ...",1,Italy Earthquake
3319,#Israel's PM #Netanyahu offers #Italy #aid and rescue help after strong #earthquake. https://t.co/GDeykr4Te8 https://t.co/ZPI9UFml37,1,Italy Earthquake
3320,"How India's Media Reported #GoHomeIndianMedia On Sunday, just over a week after the debilitating earthquake in... http://t.co/ztHob1xPaH",2,Nepal Earthquake
3321,"RT @Manda4UA: #Nepal isn't begging for food or water today, they are begging for body bags. I can't even imagine how horrific it is. #Nepal…",0,Nepal Earthquake
3322,Antigen tests will be done soon in #Rajasthan to test #Covid19  cases says CM @ashokgehlot51,2,Covid-19
3323,RT @knnubnsl4: #NepalDisasterReliefByMSG @gurmitramrahim provided 271 tents to the earthquake victims in nepal http://t.co/EzYUxg6UGA,1,Nepal Earthquake
3324,"Chandigarh: Seven-month-old baby boy, woman test COVID-19 positive; count reaches 425 #chandigarh #COVID19",2,Covid-19
3325,"RT @RIAZtheboss: Again earthquake n Assam,odisha, pondychrry -high hectare value,chennai - vadapalani,guindy,several parts-low hectare poin…",2,Nepal Earthquake
3326,RT @Stanford: A team of @StanfordMed emergency medicine doctors is headed to Nepal to aid earthquake victims: http://t.co/5bKKn4LNeH,1,Nepal Earthquake
3327,"RT @hitendudhatra: After Losing Homes, People in Earthquake-Hit Nepal Face Food Crisis: With aftershocks spreading fear and thous... http:/…",0,Nepal Earthquake
3328,Asylum seekers volunteer in wake of Italian earthquake https://t.co/eVBujIuS0g,1,Italy Earthquake
3329,Those in Italy who wish to show solidarity for the victims of earthquake can do so by donating blood at their nearest hospital #terremoto,0,Italy Earthquake
3330,#COVID19 #Covid_19india #covid #covidnews #lockdownextension #LockdownCooking #lockdownindia #lockdown #CovidWarriors #CoronavirusIndia #CoronaStopKaroNa #StayHomeStaySafe #StaySafeStayHealthy #COVID19India #InnovationAmidCOVID19 #innovations #startups #Entrepreneurs #Gurgaon https://t.co/JPp0GkUUDu,2,Covid-19
3331,"Public service announcement, in event of disaster, donate your wifi and disable your wifi password. https://t.co/k9fNCjTpXz #psa #earthquake",0,Italy Earthquake
3332,RT @Federation: #Earthquake wounded continue to face gruelling journeys on foot to find treatment http://t.co/G8l3vlevpe #NepalQuake http:/…,2,Nepal Earthquake
3333,RT @Bhabasagar: 50+ motorcycle riders available to go earthquake affected area to deliver relief material ! Please call Subindra Manandhar …,1,Nepal Earthquake
3334,"RT @JantaKaReporter: 50 tonnes of water sent to #Nepal via #IndianAirForce.
 #NepalEarthquake",1,Nepal Earthquake
3335,"Nepal has been critically shocked by the recent earthquake. Nearly 6,000 people have died (with death toll... http://t.co/jSoKjlf23u",2,Nepal Earthquake
3336,"RT @DeshGujarat: Gujarat govt to send 25,000 food packets to Nepal http://t.co/yl8muSvULM http://t.co/PN5lD6A5s3",1,Nepal Earthquake
3337,"In this era of negativity, I would like to thank each one of you who contributed towards the welfare of society. Be it donation, be it conversion of a building into quarantine centre,be it treatment of  patients,be it any freebie for the society! Salute for Real Heroes!\n#COVID19",2,Covid-19
3338,An fuckin #Earthquake...changed everythings...in my #Nepal....,2,Nepal Earthquake
3339,RT @maudnewton: .@UNICEF needs help to help children &amp; families in Nepal. @MSF is sending medical etc. teams. https://t.co/YhbQzDNKCd http:…,1,Nepal Earthquake
3340,RT @nanu_shristi: thousands people are waiting for food n drinking Water in open space after earthquake plz help them  @USAIDNepal @BBCNews…,0,Nepal Earthquake
3341,"RT @BuRrNInG_sOuL: Plz provide medicine ,blood,food,clean water,shelter and moral support to people of #Nepal
#NepalEarthquake",0,Nepal Earthquake
3342,"24 Medical teams, 49 NDRF team,2 globe aeroplane,10 helicopter, n lot lot medicine supplied to earthquake victims in Nepal n india",1,Nepal Earthquake
3343,"Nepal Earthquake: A week after earthquake, still needs tents and food

Tents and tarpaulins are the most urgent... http://t.co/EW0ApQTDI0",0,Nepal Earthquake
3344,RT @ETAuto: ETAuto | JCB donates diggers and generators worth $1 million for Nepal earthquake http://t.co/nwtM0MXrEK,1,Nepal Earthquake
3345,Worldwide: Earthquake - Asia - Myanmar (Burma) https://t.co/atk4m9Tqzx,2,Italy Earthquake
3346,"Lack of blood in blood bank in nepal.
#QuakeNepal
@BBCWorld
@ibnlive",0,Nepal Earthquake
3347,RT @ebPearls: Please help earthquake victim in Nepal -  http://t.co/UHuEjDw7zk via @gofundme,2,Nepal Earthquake
3348,fox25news: UPDATE: Death toll now at 120 after powerful earthquake rattles Italy https://t.co/kkdk82uGTu https://t.co/QBaE2QVEze,2,Italy Earthquake
3349,Nepal Earthquake Real Video - Home Garden CCTV Camera Clip: http://t.co/D8k0gQW0Me via @YouTube,2,Nepal Earthquake
3350,"RT @arunmsk: Nepal needs help  it needs food, medicine relief materials for people in distress  Doesn't need Ramdev. A nuisance value.",0,Nepal Earthquake
3351,#BREAKING @DC_Gurugram issues instructions for 8 Large Outbreak regions (LOR) valid from June 30 to July 14. Some important points @thetribunechd @gurgaonpolice @thetribunechd #COVID19 https://t.co/ESqp9t5IFp,2,Covid-19
3352,"RT @poojainsa786: #NepalDisasterReliefByMSG
team of 65 trained doctors are giving their services to earthquake victims http://t.co/H1SJezuP…",1,Nepal Earthquake
3353,#ItalyEarthquake: Two bodies have been pulled from the rubble of #quake-hit #Amatrice: https://t.co/g5vssyjsUA https://t.co/c862eHmWxF,2,Italy Earthquake
3354,Help earthquake victims of Nepal: Number of Help by Country-exclusive  http://t.co/4SKLYYVajQ,2,Nepal Earthquake
3355,RT @guardian: Nepal earthquake: anger among survivors as food and water in short supply http://t.co/wJRg9NU9IS,0,Nepal Earthquake
3356,MAITRI Nepal Earthquake relief: 5 tents set up yesterday for 35 families.. the focus will be to provide basic relief to these.. (1),1,Nepal Earthquake
3357,"#Italy Earthquake: #Army Mobilized, Dozens Buried in Amatrice - Aug 24 @ 5:24 AM ET  https://t.co/ppilSzI9Rs",1,Italy Earthquake
3358,"""@NASA_EO: Widespread Power Outages After Nepal's Devasttng Earthquake http://t.co/Bm9nIsBokk http://t.co/gJwEPLniEM"" Enormity of task ahead",0,Nepal Earthquake
3359,"#Karnataka recorded 445 new #Covid cases, majority of whom were contacts of earlier positive cases, breaching the 11,000 mark to settle at 11,005, an official said on Friday.\n\n#COVID19 #CoronaPandemic https://t.co/oLzHMfIior",2,Covid-19
3360,Donate for Earthquake Survivors Give to Nepal Relief Fund-for Food and Water need urgent http://t.co/QRRfuqMdbT funds on #indiegogolife,0,Nepal Earthquake
3361,"Nepal earthquake death toll climbs to 6,204: The death toll in Nepal from devastating earthquake has risen to ... http://t.co/DaJlBttcKe",2,Nepal Earthquake
3362,The Italian gvt waited 10 HOURS to send the army to help the villages where the earthquake hit,1,Italy Earthquake
3363,"RT @insanriya777: : ""Hope the earthquake does not leave too many casualties. Prayers with Nepal. #MSGHelpEarthquakeVictims""” http://t.co/pN…",2,Nepal Earthquake
3364,"RT @nepalConfession: #message 
We need a blood ..Nepal Red Cross  society has announce that we are loosing the blood from blood bank... htt…",0,Nepal Earthquake
3365,"RT @IndianExpress: Nepal earthquake: 4,000 take the bus ride to India http://t.co/5qi71qvrgW http://t.co/TK16gRxdOO",1,Nepal Earthquake
3366,"Emergency contact information distributed by the Italian Red Cross #Terremoto (@crocerossa ) #Amatrice 
#Earthquake https://t.co/o1l15vnjsZ",1,Italy Earthquake
3367,"#Amatrice, #Italy, 'not here any more' after strong #earthquake, says mayor https://t.co/CsGQ6zqxvi  - Please #pray @telfordcc",2,Italy Earthquake
3368,Earthquake victims at @dhulikhel hospital please help with foods cloths shelther food bed blankets etc... http://t.co/aS78FaGLsj,0,Nepal Earthquake
3369,@ShekharGupta Delhi Gurudwara Committee to prepare food for 25000 from Apr 26 which will b sent to Nepal via IAF frm Gaziabad Henden airbase,1,Nepal Earthquake
3370,Another quake today in #Nepal  ...wtf ... Why is god so unkind to those people #NepalQuake  #NepalEarthquake   need a confirmation on this,2,Nepal Earthquake
3371,"""@CricketNDTV: Rohit Sharma Prays for Earthquake-Hit Nepal http://t.co/eEanDg7P2p""",2,Nepal Earthquake
3372,Yoga guru Baba Ramdev’s health awareness camp has become a relief camp to serve those affected by the earthquake.... http://t.co/n2uVESSQYd,1,Nepal Earthquake
3373,"2nd consignment of relief material for earthquake victims of Nepal, handed over to SSB for proper distribution by... http://t.co/9gsteHDDb8",1,Nepal Earthquake
3374,"RT @DrManishKumar1: Indian Govt's prompt response to disaster in Nepal makes us feel Proud. Low Call-Rates, Doctors, Medicine, Food,water +…",1,Nepal Earthquake
3375,"#terremoto For helping victims of the #earthquake: blankets, food, basic goods https://t.co/HwxosDfqS8",1,Italy Earthquake
3376,RT @TLWH: Polish Trekker missing in Lamjung Nepal. Very difficult situation. No news. No search helicopter as they are all busy in main aid…,0,Nepal Earthquake
3377,8 Heartbreaking Then And Now Photos Of Nepal Earthquake :O http://t.co/6E0nnd9Y2W,2,Nepal Earthquake
3378,Appeal for wi-fi connection in #earthquake areas in #Italy https://t.co/hdRIsdMPsl via @BBCNews,0,Italy Earthquake
3379,"Seven-month-old baby, woman test positive for #COVID19 in Chandigarh, tally rises to 425: Health bulletin",2,Covid-19
3380,"RT @join2manish: Golden Temple sending 1 Lakh &amp; #Delhi #Gurdwaras 25K meals daily to #Nepal in #earthquake affected areas
#NepalEarthquake
…",1,Nepal Earthquake
3381,"an alarm training button,in cage,cats push button, wifi alarm in house says, hey dummy hooman, get me out earthquake https://t.co/5lgvLrBllk",0,Italy Earthquake
3382,"(Alaska Dispatch) #Strong quake hits central #Italy, bringing down buildings : ROME – A strong earthquake.. https://t.co/xuj2c1Ghbg",2,Italy Earthquake
3383,"Water, food, medical care and electricity are in short supply and there are fears of outbreaks of disease in earthquake affected areas.",0,Nepal Earthquake
3384,"RT @di1bahadur: Asha Vandari
If any one need baby pamper and delivery
pad for earthquake victims pls cont me ready to help you free phone n…",1,Nepal Earthquake
3385,Earthquake in Nepal. Golden Temple 2 send 1 lac and Delhi Gurdwaras 2 snd 25 k meals daily.dos who share sardar jokes please share this too.,1,Nepal Earthquake
3386,"i along with my team can buy and pass the food, medical or tents needed for the earthquake victims. Below r the... http://t.co/Xka6w9Pvmb",1,Nepal Earthquake
3387,"@bailondor We've had a massive earthquake in our country last week. Internet, electricity, everything went down.",0,Nepal Earthquake
3388,"we will manage, and there goes #COVID19.\nNo future outbreaks of #COVID19 will be able to affect us as most of our country will already be immune by previous exposure.\n\nI agree we need to protect elderly people and persons with co morbidities but for everyone else, #letsopenit !",2,Covid-19
3389,"All #COVID19 hospitals in #Delhi ordered to get CCTVs installed asap, create waiting areas for an attendant with a #COVID patient each, create helpdesks to provide updates on patients\u2019 condition. https://t.co/XfNCTLL1R3",2,Covid-19
3390,"@NagpurKaRajini Now a police is permanent outside that tower \n\nFew days later next tower got + covid19, that tower sealed, another police deployed even both towers r 100 mts apart...and quarantine of the area done.\n\nI am really surprised by the swift action here.",2,Covid-19
3391,"An earthquake has just struck Myanmar, hope there's no casualties #MyanmarEarthquake",2,Italy Earthquake
3392,RT @TheHarvendra: Govt deputes Union Min #JPNadda &amp; #AnanthKumar to visit Bihar to take stock of relief &amp; rescue efforts in aftermath of Sa…,2,Nepal Earthquake
3393,"RT @buniyaddotcom: Surviving an earthquake - Tips to safeguard your home
#BuniyadRealEstate
http://t.co/c7XBxUUnjB http://t.co/gbrSGvoYTi",2,Nepal Earthquake
3394,"RT @AlRoxburgh: Spoke to my brother in #Nepal. Urgent need clearly water, food and shelter.
Rain coming down and aftershocks continuing #Ne…",0,Nepal Earthquake
3395,"@narendramodi 
Sir, in incidents like earthquake there is need for more Orthopedicians.I appeal to States&amp;centre to send Ortho team to Nepal",0,Nepal Earthquake
3396,"RT @KafleShristi: High possibility of air and water borne diseases in #Kathmandu, people are in open spaces with no nutritious food and saf…",0,Nepal Earthquake
3397,"Sikh groups from Amritsar &amp; Delhi to voluntarily send 25,000 food packets to Nepal daily with no motive of... http://t.co/PIFPX5GmEF",1,Nepal Earthquake
3398,RT @RadioPakistan: #EarthquakeNepal: Pakistan Army Field Hospital established at Bhaktapur the most affected area due to #earthquake http:/…,1,Nepal Earthquake
3399,"Body bags, Tents, water, medicine, pain killers urgently needed in #earthquake  stricken #Nepal",0,Nepal Earthquake
3400,"Vasundhara raje announces 10,000 relief kits including food packets,plastic sheets,medicines,water bottles &amp; blankets to be sent to Nepal.",1,Nepal Earthquake
3401,"#Earthquake #Italy 
Colonel Massimo Tuzza
#Army working manually for the removal of rubble
 https://t.co/7R0OCAxTCX",1,Italy Earthquake
3402,VIDEO: Baby born in Nepal field hospital: A baby has been born in a Nepal earthquake field hospital as the aut... http://t.co/hknqcifL2U,1,Nepal Earthquake
3403,"Entire town wiped out, many dead after earthquake hits Italian city  - https://t.co/ajgn7ELvDf
#ItalyEarthquake https://t.co/DAQZ4sIktg",2,Italy Earthquake
3404,"@MEAIndia ""Need 10 medium &amp; heavy lift helicopters, fixed wing aircraft, water treatment plants urgently"": Ram Sharan Mahant (FinMin Nepal)",0,Nepal Earthquake
3405,Nepal Prime Minister Sushil Koirala requests citizens to donate blood: Prime Minister… http://t.co/DfEhPbJCc5 SPS®,2,Nepal Earthquake
3406,Akshay Kumar Refutes The Rumours About Nepal Earthquake Donations From First Day Collections Of ‘Gabbar Is Back’ -- http://t.co/Hl46gwwu7D,2,Nepal Earthquake
3407,Video Shows Scale of Destruction After Italy Quake https://t.co/aZy1hdzz0y,2,Italy Earthquake
3408,"@Harry_Styles Thank you for tweeting this. Please donate food, money, blankets, water to NEPAL. We need you today. # prayfornepal",0,Nepal Earthquake
3409,August 25th Current Affairs - Bitwise: International: Earth quake hits Italy &lt;img class=… https://t.co/13IrUzku6k,2,Italy Earthquake
3410,"#Italy #Earthquake
#Tuscany region sending to the scene additional tents for 250 u + Light trailers &amp; ambulances https://t.co/lreIsCKfsf",1,Italy Earthquake
3411,Friend: Yaar when will We get #COVID19 Vaccine\nMe: For now it\u2019s already \nFriend: Where? What?\nMe: Face Mask\n#vaccine #MaskIndia,2,Covid-19
3412,Mexican mountaineer recounts Nepal earthquake horror from Everest http://t.co/vasm0aU6gp #india,2,Nepal Earthquake
3413,"no electricity, no shelter, no communication, no food #help #nepal #NepalQuake #earthquake",0,Nepal Earthquake
3414,Earthquake victims relief campaign ....with frnds... https://t.co/wEwEGmuUko,2,Nepal Earthquake
3415,"RT @KC_Prasanna: 2 IAF planes with rescuers, aid &amp; water have landed in #Nepal. Thank you India. Dear rest of the world - please be generou…",1,Nepal Earthquake
3416,#reality #WeekendRead #FridayThoughts #COVID #essentials #KarlMarx #retailtherapy for #COVID19 https://t.co/mGlqvdnEfy,2,Covid-19
3417,Electricity still down in most parts of #KTM. Ppl taking shelter in open spaces. Aftershocks still coming. #earthquake,0,Nepal Earthquake
3418,"RT @DheerajGbc: How many Ford &amp; Greenpeace activist went to Nepal Bihar UP for relief work aftr d #earthquake
#RSS sent 20k workers http://…",2,Nepal Earthquake
3419,Felt strong tremors! #earthquake #Nadia,2,Italy Earthquake
3420,Water is distributed to Nepalese people at a camp in #Kathmandu .... @AFPphoto #Nepal #earthquake    http://t.co/Q8pBFpx4l4,1,Nepal Earthquake
3421,"RT @ZeeNews: Nepal quake: US helicopters to join relief efforts http://t.co/yAK8m2fbun
#earthquake #NepalEarthquake",1,Nepal Earthquake
3422,@facebook ha lanciato il #SafetyCheck per il #terremoto https://t.co/QFAaL0dcKO,2,Italy Earthquake
3423,"EarthQuake !! Date:2015/05/08 13:32
4.8 Richter Scale
Epicenter :  Sindhupalchowk",2,Nepal Earthquake
3424,Nearly 4000 people was dead in earthquake #NepalEarthquake #prayfornepal #RIP prayers for their families and frdz. http://t.co/Gu1uipVBp2,2,Nepal Earthquake
3425,Lalu Prasad Yadav: Narendra Modi government gave more tremors than Nepal Earthquake- http://t.co/AkHVYZuNY7,2,Nepal Earthquake
3426,RT @123navkirat: #MSGHelpEarthquakeVictims.GURU G nepal need help of you,2,Nepal Earthquake
3427,The Salvation Army International - The Salvation Army in Italy Prepares Earthquake Response https://t.co/3mK3YnIgbO,1,Italy Earthquake
3428,"RT TimesNow: Pak sends 2 planes with relief goods, a field hospital &amp; several paramedics, rescue workers to earthquake-hit Nepal (PTI) #Nep…",1,Nepal Earthquake
3429,#COVID19 #Rajasthan 8:30pm Report\n\n364+ve cases &amp; 1 Death Reported\n\n60 #Jaipur\n43 #Bharatpur\n42 #Sirohi\n41 #Pali\n29 #Kota \n27 #Barmer\n25 #Jodhpur\n14 #Karauli\n13 #Bikaner\n11 #Jalore\n\nCumulative+ve 16660\nActive +ve 3218\nDeaths 380\nCured 13062\nDischarged 12772\nMigrants +ve 4776\n\ud83d\udc47 https://t.co/SMNWe7YkC0,2,Covid-19
3430,"RT @Flavio58: Israel sends emergency aid to Nepal after 7.9 magnitude earthquake kills more than 1,900: Israel dispatched se... http://t.co…",1,Nepal Earthquake
3431,"Earthquake rescue: Over 63,000 blankets sent to Nepal quake victims: Under ‘Operation Maitri’, the state gover... http://t.co/IcTnojHmNh",1,Nepal Earthquake
3432,"RT @katydaigle: A week after earthquake, Nepal still needs tents and food (from @AP) http://t.co/LrbPcdec3b",0,Nepal Earthquake
3433,Nepal surgeons struggle to help victims of powerful earthquake http://t.co/O1ALrr9CH2,0,Nepal Earthquake
3434,@LokibyHeart avengers m b earthquake h aaya,2,Nepal Earthquake
3435,The Pacific Disaster Center releases preliminary damage estimates for Nepal earthquake. http://t.co/HQZOOATVmp http://t.co/iyCAGzM7Ia,2,Nepal Earthquake
3436,people are still scare of dangerous earthquake and after shock now fear from  epidemic disease we nepali people still survive,2,Nepal Earthquake
3437,@BisleriZone Plz provide water in Nepal,0,Nepal Earthquake
3438,"RT @Edourdoo: China is sending ￥ 20 million worth of emergency shelters, clothing blankets and power generators to Nepal. http://t.co/VYB3G…",1,Nepal Earthquake
3439,"CR  set up @ MEA, India in the wake of earthquake . Helpline No- +91 11 2301 2113 ,+91 11 2301 7905 . e-mail -controlroom@mea.gov.in",2,Nepal Earthquake
3440,The @RedCross is urging Italians to disable wifi passwords so responders and victims can communicate. #earthquake https://t.co/k9fNCjTpXz,0,Italy Earthquake
3441,Rotary is sending Shelterboxes to provide emergency accommodation to victims of Italian earthquake.  @ShelterBox @shelterboxpress,1,Italy Earthquake
3442,COUNTRY CONTINUES TO SHAKE #PrayForItaly #TerremotoItalia #Amatrice #Italy #news #earthquake #ItalyEarthquake https://t.co/DkRCeRHTOE,2,Italy Earthquake
3443,"#Delhi
Need #Blood Type :  
At : Saroj Hospital, Rohini
Blood Component : Need Plasma B+ve from #COVID19 recovered patient.
Primary Number : 9711907003
Secondary Number : 9810276263
Via: @india_donors
#BloodMatters
Powered by Twitter https://t.co/fSy7uMripL",0,Covid-19
3444,RT @RajatGupta5186: #MSGHelpEarthquakeVictims As asked by @PMOIndia packed food dispatched to Nepal under guidance of St.... http://t.co/bs…,1,Nepal Earthquake
3445,"Saturday morning 8am,Blood donation programme at Crimson Hospital bhairahawa . So u can help earthquake victim by... http://t.co/SaKHYIf3uu",1,Nepal Earthquake
3446,"India is showing the true brotherhood with nepal... by helping the victims of earthquake
 by sending all facilities,doctors rescue teams.",1,Nepal Earthquake
3447,"Nepal earthquake: Homeless urgently need tents; Death toll above 5,200
Read More &gt;&gt;... http://t.co/42B4VaQ9rO",0,Nepal Earthquake
3448,"@harvardshaker Yes, bad news everywhere. Awful about earthquake in Italy.",2,Italy Earthquake
3449,7.9 Magnitude Earthquake Hits Nepal Bhaktapur Kathmandu - 7.8 Damages 14... https://t.co/eiknEw10su,2,Nepal Earthquake
3450,RT @ReachOut2Sch: We are so relieved to confirm that all the children of Jivan Joyti Sch where @wendy21brown has been training are unharmed…,2,Nepal Earthquake
3451,"donate clothes , food , water bottles , medicines and help Nepal Earthquake victims",0,Nepal Earthquake
3452,#COVID19  UP UPDATE\nTotal cases : 20313\nFresh cases in last 24 hrs: 762\nActive cases : 6730\nNo of patients recovered: 13583\nDeaths: 630\nTotal samples tested in last 24 hrs: 19387\nRate of Recovery : 66.8%\n@TheMornStandard @NewIndianXpress,2,Covid-19
